strategy,base_npv,mandatory_full_recovery,common_total_shortage,common_critical_shortage,common_min_critical_service,common_feasible,error
Земная,8362.08193202411,False,293.6301369863331,77.02739726027987,0.7527619047618996,False,
Гибридная,8462.303294981273,False,184.9772054794848,1.2363443602225743e-12,0.9999999999999941,False,
Усиленный резерв,8511.548351304169,False,187.853917808253,1.2363443602225743e-12,0.9999999999999941,False,
Земная + подготовка,8452.258299909485,True,135.30487771233229,1.2363443602225743e-12,0.9999999999999941,False,
Гибридная + подготовка,8573.10623136213,True,26.651946205485274,1.2363443602225743e-12,0.9999999999999941,False,
Усиленный резерв + подготовка,8654.84155915527,True,6.925917808224199,1.2363443602225743e-12,0.9999999999999941,False,
